dataset,method,n,n_context_rows,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,auprc_mean,auprc_std,auprc_ci95_low,auprc_ci95_high,recall_at_1pct_mean,recall_at_1pct_std,recall_at_1pct_ci95_low,recall_at_1pct_ci95_high,cost_sensitive_risk_mean,cost_sensitive_risk_std,cost_sensitive_risk_ci95_low,cost_sensitive_risk_ci95_high,worst_block_regret_mean,worst_block_regret_std,worst_block_regret_ci95_low,worst_block_regret_ci95_high,average_block_regret_mean,average_block_regret_std,average_block_regret_ci95_low,average_block_regret_ci95_high,source
dgraphfin,best_val_branch,10,60,0.0362439991492641,0.0054495175147943,0.0326348358922478,0.0388103898216404,0.0164080570658069,0.0028697183813524,0.0145230998661475,0.0177309982610065,0.0137502236536052,0.0052710683720661,0.0104938271604937,0.016639828234031,0.4726614259891387,0.2281358074988267,0.3457301991104948,0.6156877728295544,0.1679662661054202,0.1980797775992921,0.0610141840362743,0.2918369859685654,0.1612413948677869,0.1941952211431869,0.0557219929771753,0.284762959825997,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,graphsafe_conservative,10,60,0.0425681153454984,0.0057650259019746,0.0393860050524718,0.0461641688245069,0.0190067356416778,0.0022692418316307,0.0177127430067836,0.0203888891177598,0.0209160851672928,0.0056498282848232,0.0176149579531221,0.0242887815351582,0.2912787566512148,0.1624648257474509,0.2014522463823461,0.3926461113036869,-0.0173415285750013,0.0480755254779031,-0.0491622501226096,0.003967060034901,-0.0200265961676187,0.0490105987750003,-0.0523019310406641,0.0012521107950942,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,simple_average,10,60,0.0364684919568185,0.0080207418100678,0.0317738527991106,0.0412549228507592,0.0162535066082442,0.004337943751046,0.0137661583705025,0.0187892510187767,0.0142959384505277,0.0071028854569944,0.0103862497763463,0.018715333691179,0.4522019266735994,0.2292873573816542,0.321848521212406,0.588414068359899,0.1486898778783444,0.2028625349016469,0.0466287024152198,0.2818732461917404,0.1410976519828755,0.1983755162593229,0.0402783559361899,0.2702565703365956,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,best_val_branch,10,60,0.5324734151887581,0.0115486878754304,0.5255561589463015,0.5392823909474316,0.4928135413259991,0.0248263818534087,0.4779033243677926,0.5070965173495318,0.1200523237919359,0.0074363993141564,0.1155894121268082,0.1243617266851338,0.1797240551889621,0.0042610487745477,0.1770995300939812,0.1820106478704259,0.0937614015556337,0.0194856751432841,0.0810564314494167,0.1033465631651811,0.0162435928447472,0.0031698687075103,0.0141066069992785,0.0177931777001824,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,graphsafe_conservative,10,60,0.5332546849270055,0.0114616756270234,0.526409799135093,0.5398130695618404,0.4876196152794206,0.023008011544844,0.4739047743284676,0.5010369308066925,0.1175592489996922,0.0066570479754463,0.1134499076638965,0.1213911972914742,0.1783063387322535,0.004818943540968,0.1753718506298739,0.1810897820435912,0.0874616937839065,0.0207053033651603,0.0747704158603166,0.0988534917327708,0.014865650486536,0.0037677396882305,0.0125418798336534,0.0169646718009468,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,simple_average,10,60,0.5512966890913793,0.01117496388886,0.5449373631321696,0.557932599622435,0.532923689833229,0.0249465011728825,0.5176344885789882,0.5473814555939394,0.1276238842720836,0.0085721276688042,0.1220837180670975,0.132071406586642,0.170858828234353,0.0035875598525101,0.1687741951609677,0.1729464357128573,0.0568865556699588,0.0092500205396472,0.051956679424446,0.0628031698163888,0.0081962650811586,0.0026212933585289,0.0067134007347251,0.0097936074994003,results/runs_rb17_review_budget_worst_block/rb17_results.csv
