version,variant,size,regime,protocol,config,seed,f1,precision,recall,balanced_accuracy,auroc,auprc,runtime_seconds,positive_rate,positive_count,test_count,actual_backend,source_path
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,2,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,55.207,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed2.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,3,0.02166228556010806,0.011008439726651902,0.6725100728069555,0.791529608435303,0.8836428025335797,0.02194567123052361,177.026,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed3.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,4,0.023698589886988492,0.012059925187753107,0.6784477274333781,0.7980813070794214,0.8794035508253205,0.02382758219705506,176.435,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed4.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,3,0.1279435599199161,0.1964573268921095,0.09486110129356047,0.5471433286004344,0.8912898356956351,0.07611244453720499,36.764,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed3.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,4,0.08708240534521158,0.2050878573301862,0.05527673711741005,0.5274797658947454,0.9087729896545825,0.08723674482963183,38.045,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed4.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,3,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,45.531,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed3.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,4,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,45.64,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed4.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,3,0.02325253332706369,0.011837830443555282,0.650535613606465,0.7798998953897402,0.8732453915160328,0.02576292542232635,211.089,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed3.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,4,0.008292206061933666,0.004164214110795597,0.9532982522082315,0.7861885581599185,0.9118882215835564,0.03665221023095639,206.629,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed4.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,3,0.00056216621381055,0.0967741935483871,0.00028190189813944745,0.5001387528038647,0.9411451992476587,0.16934775913997302,86.107,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed3.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,4,0.01004277478147666,0.48214285714285715,0.005074234166510054,0.5025325637824731,0.9255591064153909,0.1583591796285939,51.863,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed4.json
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,3,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,49.36,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed3.json
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,4,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,48.804,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_3_4_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed4.json
