dataset,method,budget_pct,n,n_context_rows,precision_mean,precision_std,recall_mean,recall_std,source,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,method_label
dgraphfin,best_val_branch,0.5,10,60,0.0142410015649451,0.0057461294869861,0.0065127929862228,0.0026278595399421,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.010679513610755437,0.017802489519134764,0.004884028768847826,0.008141557203597775,Best val branch
dgraphfin,best_val_branch,1.0,10,60,0.0150420825993344,0.0057662949953958,0.0137502236536052,0.0052710683720661,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.01146809593354175,0.018616069265127048,0.01048318162899707,0.01701726567821333,Best val branch
dgraphfin,best_val_branch,2.0,10,60,0.0159128732256485,0.00535481212402,0.029083914832707,0.0097869754601654,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.012593926285827804,0.019231820165469198,0.02301788459648075,0.03514994506893325,Best val branch
dgraphfin,feature_only,0.5,10,60,0.014319248826291,0.0102888454294688,0.0065485775630702,0.004705365703654,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.007942156360386195,0.020696341292195806,0.003632161684943048,0.009464993441197351,Feature only
dgraphfin,feature_only,1.0,10,60,0.0160696809551771,0.0124277880658009,0.0146895687958489,0.0113604525368003,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.008366858108282383,0.02377250380207182,0.007648287363609652,0.02173085022808815,Feature only
dgraphfin,feature_only,2.0,10,60,0.0144591287322564,0.0121438392706225,0.0264269100017891,0.0221952617909123,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.00693229917196006,0.02198595829255274,0.012670144219282909,0.0401836757842953,Feature only
dgraphfin,graphsafe_conservative,0.5,10,60,0.0209898278560249,0.0055321868248763,0.0095992127393093,0.0025300178071898,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.017560942937620803,0.024418712774428995,0.00803109145617442,0.011167334022444181,GraphSafe conservative
dgraphfin,graphsafe_conservative,1.0,10,60,0.0228811900567625,0.00618064010254,0.0209160851672928,0.0056498282848232,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.019050389632889103,0.026711990480635897,0.017414285316591567,0.02441788501799403,GraphSafe conservative
dgraphfin,graphsafe_conservative,2.0,10,60,0.0220998531571218,0.0061475676476045,0.0403918411164787,0.0112358925604365,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.01828955125318866,0.025910155061054943,0.03342776275743829,0.047355919475519107,GraphSafe conservative
dgraphfin,simple_average,0.5,10,60,0.0148474178403755,0.0077314966322358,0.00679012345679,0.0035358213261755,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.01005538658073738,0.01963944910001362,0.004598598693928105,0.008981648219651896,Simple average
