variant,size,regime,protocol,config,status,n,auprc_mean,auprc_std,normalized_auprc_mean,auroc_mean,f1_mean,runtime_seconds_mean,runtime_seconds_min,runtime_seconds_max,source_paths,pareto_auprc_runtime_within_cell,config_label,runtime_interval_low,runtime_interval_high,auprc_sd_low,auprc_sd_high,protocol_label
hi-medium,medium,hi,late_window_holdout,edge_aware_graphsage_h64_shuffled_edge_features,MEASURED_FULL10,10,0.0297003823532502,0.0049199788461517,17.804734531023122,0.806022384908186,0.0135156104219311,311.0025,282.326,374.751,results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed10_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed1_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed2_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed3_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed4_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed5_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed6_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed7_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed8_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed9_late_window_holdout.json,False,Shuffle,282.326,374.751,0.0247804035070985,0.0346203611994019,late holdout
hi-medium,medium,hi,late_window_holdout,recent_window_only_graph,MEASURED_FULL10,10,0.0289492282206032,0.0070529973980729,17.35443393338798,0.9332876930584532,0.021238093421004,153.0965,143.695,160.748,results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed10_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed1_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed2_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed3_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed4_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed5_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed6_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed7_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed8_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed9_late_window_holdout.json,True,Recent,143.695,160.748,0.0218962308225303,0.0360022256186761,late holdout
hi-medium,medium,hi,both planned protocols,gine_light_h64,RESOURCE_BLOCKED_T4_CUDA_OOM,0,,,,,,,,,results/v28_imported/V28_ALL_RUNS_EVIDENCE_LOCK.json,False,GINE,,,,,both planned protocols
hi-small,small,hi,early_to_late_transfer,degree_capped_bipartite,MEASURED_FULL10,10,0.0128494798113685,0.0176865803358378,8.434396333709243,0.8739283984521895,0.018060635591123,27.886000000000003,27.158,28.99,results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_capped_bipartite_seed9_early_to_late_transfer.json,True,Degree cap,27.158,28.99,0.0,0.0305360601472063,early-to-late
hi-small,small,hi,early_to_late_transfer,edge_aware_graphsage_h64,MEASURED_FULL10,10,0.0102513736030234,0.0076287868297811,6.728999866307918,0.815501637859237,0.0142390591917459,33.273199999999996,30.943,39.277,results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed10_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed1_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed2_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed3_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed4_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed5_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed6_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed7_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed8_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-small_edge_aware_graphsage_h64_seed9_early_to_late_transfer.json,False,Ref,30.943,39.277,0.0026225867732422997,0.0178801604328045,early-to-late
hi-small,small,hi,early_to_late_transfer,edge_aware_graphsage_h64_degree_only,MEASURED_FULL10,10,0.0051277610628008,0.0036997114646333,3.365861477906679,0.6848371582452574,0.00940523114624,31.612899999999996,29.675,34.768,results/v28_imported/imported_json/V28_hi-small_degree_only_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_degree_only_seed9_early_to_late_transfer.json,False,Degree,29.675,34.768,0.0014280495981674997,0.0088274725274341,early-to-late
hi-small,small,hi,early_to_late_transfer,edge_aware_graphsage_h64_no_edge_features,MEASURED_FULL10,10,0.0038660818912112,0.0011316998139868,2.5376954871124235,0.7077099045849835,0.0080564643582534,34.996,31.829,38.002,results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_no_edge_features_seed9_early_to_late_transfer.json,False,No edge,31.829,38.002,0.0027343820772244,0.004997781705198,early-to-late
hi-small,small,hi,early_to_late_transfer,edge_aware_graphsage_h64_shuffled_edge_features,MEASURED_FULL10,10,0.0041224623721326,0.0017969177641787,2.7059835906047462,0.6756518336321026,0.0088343411160922,32.5197,28.834,39.145,results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_shuffled_edge_features_seed9_early_to_late_transfer.json,False,Shuffle,28.834,39.145,0.0023255446079539005,0.0059193801363113,early-to-late
hi-small,small,hi,early_to_late_transfer,gine_light_h64,MEASURED_FULL10,10,0.0260807710529575,0.0060815454226388,17.119413624414047,0.844507132772778,0.0111382705887257,264.46590000000003,264.002,265.118,results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_gine_light_h64_seed9_early_to_late_transfer.json,True,GINE,264.002,265.118,0.0199992256303187,0.032162316475596295,early-to-late
hi-small,small,hi,early_to_late_transfer,recent_window_only_graph,MEASURED_FULL10,10,0.0049552689564518,0.0023048684092328,3.252637689026354,0.7790310589166413,0.0105192352874369,16.640800000000002,15.513,18.442,results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-small_recent_window_only_graph_seed9_early_to_late_transfer.json,True,Recent,15.513,18.442,0.0026504005472190004,0.0072601373656846005,early-to-late
