binding_id,scenario_id,base_coordinate_id,protocol,expert,seed,role,permitted_splits,evaluation_split,label_access,resource_mask,review_budget,status
binding-55c552dd0ec38fde5320ff5b,scenario-cc539dcaf41c71bdfc9dc73b,7942161b606b38cad5c6684f3412d7169bef94000311037aad02c2c6ba3f0175,isolated_inductive,graphsage,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-8b99357b2b812f60f445f182,scenario-cc539dcaf41c71bdfc9dc73b,8aec4dba6e3bd27c5f77ae2e0580c5622c35e540946a6804f3c852e55dac8bbc,transductive_structure,feature_mlp,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-24dc7068fb4a5d44efcec5ac,scenario-cc539dcaf41c71bdfc9dc73b,ebf7b76ccb77a8d91fe3627a897cdc094a3fe2137bc534354a520cec601ba855,transductive_structure,gcn,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-f9254e083b1c8df27d8cd93d,scenario-cc539dcaf41c71bdfc9dc73b,6b6e09d5a0208e50068bb14a20533623acb02239a3671fc6165fe5ec9c2f4a76,transductive_structure,graphsage,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-264265f70a55e58e581609df,scenario-350758023f31831bb84d7d1e,cb261392c80665327080dffe40feb95c8755e7b598042d512362540cf4738d04,strict_inductive,feature_mlp,3,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-71af9dc8378fd8ff9a49758f,scenario-350758023f31831bb84d7d1e,9862792a2c3b130795585d5e2ab571ff0fae898332800fadf19fe2faa483f506,strict_inductive,gcn,3,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-5390a99806a1af412561e226,scenario-350758023f31831bb84d7d1e,13eea981784dde22252688c8c686658f7da132ae76f71b8d983a54fd68002637,strict_inductive,graphsage,3,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-2592ce71402e56c2de998bba,scenario-350758023f31831bb84d7d1e,f95bb21b049e142f7d6730166d9ae53ea64b11c3a76ed2124da3b7113407cfa2,isolated_inductive,feature_mlp,3,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-b08794014f95e7e9f1602a04,scenario-350758023f31831bb84d7d1e,960fb930d657634e38cb91078ed64d107972340c874d2e287792f1a7a3732e6f,isolated_inductive,gcn,3,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-e823089eb53e78cc249a1e30,scenario-350758023f31831bb84d7d1e,7a08ffcd64d7582fe380616b1911635c90a7d9df60af400a7c453812d3792f7e,isolated_inductive,graphsage,3,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
