lane_id,status,actual_json,expected_json,actual_prediction_csv,expected_prediction_csv,prediction_rows
RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_FULL10_MERGED_WITH_COMPATIBLE_ALIASES,180,180,180,180,30637260
RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_FULL10_MERGED_WITH_COMPATIBLE_ALIASES,180,180,180,180,3000600
RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_FULL10,80,80,80,80,13616560
RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_FULL10,160,160,160,160,2667200
RB30_DGRAPHFIN_EXTRA_ARCH_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,BLOCKED_T4_OOM,0,20,0,20,0
RB30_ELLIPTIC_EXTRA_ARCH_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_FULL10,40,40,40,40,666800
